Product URL,Product Name,Product price,Product rating,Number of reviews
https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1685038454&sprefix=ba%2Caps%2C283&sr=8-15,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",₹649.00,4.4 out of 5 stars,"3,041 ratings"
https://www.amazon.in/Blue-Tree-Backpack-Cartoon-Spiderman/dp/B08YP5HQVP/ref=sxin_15_trfob_7_B08YP5HQVP?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08YP5HQVP&pd_rd_r=7bf051e3-2885-4dcd-ad1e-d6b118c7ef98&pd_rd_w=Dj8fU&pd_rd_wg=zZ84Y&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=METZ76XG7GR76810VY3N&qid=1685038474&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-8-cc7a04fe-cc55-42ad-b883-1b910070c86a,Blue Tree Kids School Bag Soft Plush Backpack Cartoon Bags Combo Mini Travel Bag for for Girls Boys Toddler Baby (Spiderman & Recon),₹415.00,5.0 out of 5 stars,1 rating
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1685038474&sprefix=ba%2Caps%2C283&sr=8-4,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),₹499.00,3.9 out of 5 stars,801 ratings
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1685038474&sprefix=ba%2Caps%2C283&sr=8-6,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹749,3.9 out of 5 stars,"2,764 ratings"
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1685069410&sprefix=ba%2Caps%2C283&sr=8-1,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),₹598.00,4.3 out of 5 stars,"10,923 ratings"
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1685069410&sprefix=ba%2Caps%2C283&sr=8-8,"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","₹1,299",4.3 out of 5 stars,194 ratings
Product URL,Product Name,Product price,Product rating,Number of reviews
Product URL,Product Name,Product price,Product rating,Number of reviews
Product URL,Product Name,Product price,Product rating,Number of reviews
https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7/ref=sr_1_54?crid=2JDAPD2D856LD&keywords=bags&qid=1685069425&sprefix=bags%2Caps%2C234&sr=8-54,"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",₹398.00,4.1 out of 5 stars,"8,997 ratings"
https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_55?crid=2JDAPD2D856LD&keywords=bags&qid=1685069425&sprefix=bags%2Caps%2C234&sr=8-55,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",₹929.00,3.8 out of 5 stars,806 ratings
